Symbol,jjj,GOLD,US100Cash,US100Cash,US30Cash,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,US100-SEP26,US500Cash,GOLD,GOLD,GOLD
Type,BUY,SELL,BUY,BUY,BUY,BUY,SELL,BUY,BUY,BUY,SELL,BUY,BUY,SELL,SELL,SELL,SELL,SELL,SELL,SELL,SELL,SELL,BUY,BUY,SELL,SELL
Asset Type,Precious Metals,Precious Metals,Indices,Indices,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Precious Metals,Indices,Indices,Indices,Precious Metals,Precious Metals,Precious Metals
Volume,0.1,0.3,0.7,0.1,1,0.2,0.2,0.07,0.1,0.2,0.2,0.07,0.02,0.03,0.1,0.03,0.2,0.3,0.1,0.01,0.3,0.1,0.5,0.04,0.04,0.2
Open price,"4,058.57","4,115.17","28,943.16","28,896.04","52,264.10","4,059.15","4,145.69","4,119.34","4,012.70","4,075.68","4,043.25","4,150.05","4,022.49","4,076.94","28,446.68","4,075.50","4,051.74","4,071.13","4,010.62","4,013.94","28,437.01","28,743.50","7,488.05","4,096.74","4,067.39","4,053.84"
close price,"4,055.95","4,114.64","28,964.04","28,920.54","52,286.85","4,060.04","4,148.80","4,141.64","4,008.69","4,070.34","4,043.47","4,157.82","4,018.17","4,055.60","28,555.05","4,081.02","4,059.04","4,079.97","4,006.43","4,011.84","28,458.76","28,673.25","7,490.55","4,097.30","4,063.77","4,052.49"
open time,23/07 15:39,22/07 07:58,21/07 07:32,21/07 06:46,20/07 09:03,24/07 15:21,22/07 17:50,22/07 14:05,20/07 18:36,24/07 16:55,24/07 01:12,22/07 16:00,21/07 01:41,24/07 17:25,23/07 17:51,21/07 16:55,24/07 14:43,21/07 19:10,20/07 19:17,20/07 16:24,24/07 12:55,23/07 15:00,23/07 00:45,22/07 01:17,21/07 09:13,24/07 21:05
close time,23/07 15:44,22/07 08:01,21/07 07:43,21/07 07:00,20/07 10:17,24/07 15:39,22/07 17:57,22/07 14:31,20/07 18:43,24/07 17:30,24/07 01:16,22/07 16:14,21/07 02:00,24/07 20:35,23/07 21:11,21/07 19:24,24/07 14:48,21/07 19:24,20/07 20:09,20/07 17:25,24/07 12:58,23/07 15:35,23/07 00:50,22/07 01:26,21/07 09:23,24/07 21:15
Profit,-$26.20,$15.90,$14.62,$2.45,$22.75,$17.80,-$62.20,$156.10,-$40.10,-$106.80,-$4.40,$54.39,-$8.64,$64.02,-$10.84,-$16.56,-$146.00,-$265.20,$41.90,$2.10,-$6.53,$7.03,$1.25,$2.24,$14.48,$27.00
-,gold,us30cash,us100cash,us100cash,us30cash,gold,gold,gold,gold,gold,gold,gold,gold,gold,us100cash,gold,gold,gold,gold,gold,us500cash,gold,us500cash,gold,gold,gold
Symbol,GOLD,US30Cash,US100Cash,US100Cash,US30Cash,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,US100Cash,GOLD,GOLD,GOLD,GOLD,GOLD,US500Cash,GOLD,US500Cash,GOLD,GOLD,GOLD
